Datetime,T2M,LSTM
29-05-2025 23:00:00,24.46666667,25.01946434
30-05-2025 00:00:00,22.93333333,23.42138205
30-05-2025 01:00:00,21.4,21.67241485
30-05-2025 02:00:00,22.66666667,22.17816955
30-05-2025 03:00:00,23.93333333,23.79183117
30-05-2025 04:00:00,25.2,25.74251378
30-05-2025 05:00:00,27.13333333,27.19671106
30-05-2025 06:00:00,29.06666667,30.10390237
30-05-2025 07:00:00,31,31.17589709
30-05-2025 08:00:00,31.86666667,31.95255365
30-05-2025 09:00:00,32.73333333,32.59509224
30-05-2025 10:00:00,33.6,33.65972131
30-05-2025 11:00:00,30.46666667,30.39848009
30-05-2025 12:00:00,27.33333333,27.65000916
30-05-2025 13:00:00,24.2,24.62785028
30-05-2025 14:00:00,24.2,23.84849483
30-05-2025 15:00:00,24.2,23.60465452
30-05-2025 16:00:00,24.2,23.37882399
30-05-2025 17:00:00,24.13333333,24.36051396
30-05-2025 18:00:00,24.06666667,23.57322612
30-05-2025 19:00:00,24,23.03719806
30-05-2025 20:00:00,23.73333333,23.90711096
30-05-2025 21:00:00,23.46666667,24.58156995
30-05-2025 22:00:00,23.2,23.19728501
30-05-2025 23:00:00,22.86666667,23.24165114
31-05-2025 00:00:00,22.53333333,22.56992853
31-05-2025 01:00:00,22.2,22.1557752
31-05-2025 02:00:00,23.26666667,23.67769017
31-05-2025 03:00:00,24.33333333,24.20351861
31-05-2025 04:00:00,25.4,25.51958148
31-05-2025 05:00:00,27.53333333,27.67720096
31-05-2025 06:00:00,29.66666667,29.36788754
31-05-2025 07:00:00,31.8,32.24365483
31-05-2025 08:00:00,32.93333333,32.85508895
31-05-2025 09:00:00,34.06666667,33.72868716
31-05-2025 10:00:00,35.2,35.4399345
31-05-2025 11:00:00,34.86666667,34.46485957
31-05-2025 12:00:00,34.53333333,34.54593633
31-05-2025 13:00:00,34.2,34.19592186
31-05-2025 14:00:00,32.93333333,33.41896059
31-05-2025 15:00:00,31.66666667,31.87895817
31-05-2025 16:00:00,30.4,30.3888076
31-05-2025 17:00:00,29.86666667,30.23238288
31-05-2025 18:00:00,29.33333333,29.95505305
31-05-2025 19:00:00,28.8,29.04946035
31-05-2025 20:00:00,28.46666667,28.4712965
31-05-2025 21:00:00,28.13333333,27.54666233
31-05-2025 22:00:00,27.8,27.32366669
31-05-2025 23:00:00,27.46666667,27.33016603
01-06-2025 00:00:00,27.13333333,26.86075119
01-06-2025 01:00:00,26.8,26.71638389
01-06-2025 02:00:00,26.93333333,26.95866795
01-06-2025 03:00:00,27.06666667,27.30355247
01-06-2025 04:00:00,27.2,27.16847199
01-06-2025 05:00:00,29.2,29.41757015
01-06-2025 06:00:00,31.2,31.22883383
01-06-2025 07:00:00,33.2,32.31654449
01-06-2025 08:00:00,34.13333333,33.71324977
01-06-2025 09:00:00,35.06666667,35.00222876
